作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
NEW GAME!! 第二季,new_game_second_season_tv_2017,2017 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,职场加班与留宿、成人饮酒、身体与换装笑话、恋爱式误会主要以喜剧方式呈现。,有精确条目,1120,0.1223780487804878
玉响～hitotose～,tamayura_hitotose_tv_2011,2011 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,无,父亲去世和遗物照片带来的回忆、迁居与旧友重逢、日常活动中的离别情绪。,有精确条目,1121,0.046534017971758664
BanG Dream! 少女乐团派对！☆PICO～大份～,bang_dream_garupa_pico_oomori_2020,2020 WEB,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,Q 版夸张事故和灾害喜剧、身体变形笑点、快速切换角色、三分钟短篇结构。,有精确条目,1151,0.042879019908116385
NEW GAME!,new_game_tv_2016,2016 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,长期加班与留宿公司、内衣与换装笑话、游戏角色裙底笑话、成人职场饮酒、仿真枪与气枪笑话。,有精确条目,1154,0.11589308115410596
少女与战车 这次是真正的安齐奥战！,girls_und_panzer_anzio_ova_2014,2014 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,可见宣传,无,战车炮击、追击、车辆损伤、比赛压力与夸张队长敬称,有精确条目,1159,0.0640207075064711
BanG Dream! FILM LIVE 2nd Stage,bang_dream_film_live_2nd_stage_movie_2021,2021 剧场动画,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,演唱会音量与闪光、舞台竞争、大量歌曲表演、关系推进有限,有精确条目,1173,0.03605227579990987
剧场版 黄金拼图 谢谢你!!,kin_iro_mosaic_thank_you_movie_2021,2021 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,毕业与分离焦虑、恋爱话题和暧昧配对笑料、旅行中的更衣与身体话题笑料。,有精确条目,1177,0.11784386617100372
剧场总集篇孤独摇滚！ Re:,bocchi_the_rock_re_movie_2024,2024 剧场动画,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,可见宣传,无,严重社交焦虑、公开演出压力、夸张出丑笑料、成年角色饮酒及借钱笑料。,有精确条目,1182,0.036727616645649434
天才麻将少女 全国篇,saki_zenkoku_hen_tv_2014,2014 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,高中生麻将比赛中的高压、晕厥与身体危险；超能力化的竞技表现和夸张身体反应；家庭分离、姊妹矛盾与全国赛压力；部分喜剧段落包含对高中女生身体的性化评论。,有精确条目,1197,0.126960503720664
侦探歌剧 少女福尔摩斯 第二幕,tantei_opera_milky_holmes_dai_2_maku_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,副线,贫困与学院处分、能力丧失、夸张战斗和身体笑料、女性对手之间的操控与崇拜、怪盗帝国男性成员对亚森的单向爱慕。,有精确条目,1199,0.0594390958560067
魔法少女奈叶,mahou_shoujo_lyrical_nanoha_tv_2004,2004 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,儿童虐待、替代身份危机、儿童战斗与空间灾害,有精确条目,1200,0.08210645526613816
亲吻那片花瓣「恋人的羁绊」,sono_hanabira_ni_kuchizuke_wo_anata_to_koibito_tsunagi_ova_2010,2010 OVA,主线,主线,明确交往,是,是,是,是,是,是,相邻版本、范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,无,18+成人内容；照护与亲密发展交错,有精确条目,1211,0.21427589052399945
大剑,claymore_tv_2007,2007 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,并行,大量肢解与流血、食人和身体恐怖、儿童受虐与遇险、性暴力威胁、人体改造、酷刑、死亡、自杀／请求他人结束生命,有精确条目,1223,0.030613239738715024
Princess Principal,princess_principal_tv_2017,2017 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,枪击与死亡、暗杀和政变、自尽、儿童遭殴打及人体实验、家庭暴力、贫困与阶级歧视、战争与革命、身份互换和长期冒名。,有精确条目,1227,0.1096974145665117
BanG Dream! 第三季,bang_dream_3rd_season_tv_2020,2020 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,未知,竞赛压力与失败、团队冲突与排斥、成员离队和寻找失联伙伴、学校与舞台压力。,有精确条目,1249,0.056579783852511126
BanG Dream! 少女乐团派对！☆PICO FEVER！,bang_dream_garupa_pico_fever_2021,2021 WEB,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,未知,Q 版夸张事故和灾害喜剧、身体变形笑点、快速切换角色、三分钟短篇结构。,有精确条目,1276,0.028441105446740004
请问您今天要来点兔子吗？,gochuumon_wa_usagi_desu_ka_tv_2014,2014 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,未成年角色的更衣、内衣、泳装与身材笑料，兔女郎式制服，枪械和刀具笑料，咖啡因醉态，患病及死亡／哀伤提及。,有精确条目,1280,0.11722647156634519
旋转少女,rolling_girls_tv_2015,2015 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,夸张战斗与爆炸、绑架和人质危机、重伤住院、地区武装冲突、温泉裸露与身体笑料、控制型亲子关系。,有精确条目,1319,0.0718169174358326
HELLO!! 黄金拼图,kin_iro_mosaic_hello_tv_2015,2015 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,高中女生的泳装、身高和身体笑料；跨文化和金发刻板笑点；占有式反应、追逐和夸张肢体喜剧；朋友暂时分别带来的寂寞。,有精确条目,1325,0.13396639883126368
校园乌托邦 学美向前冲！,gakuen_utopia_manabi_straight_tv_2007,2007 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,学校合并与活动取消压力、小学时期被同学工具化的回忆、生徒会室火灾、可疑成年男性进入女子校学园祭、喜剧性碰撞与受伤。,有精确条目,1335,0.07054545454545455
Front Innocent,front_innocent_ova_2005,2005 OVA,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,范围内版本,可见宣传,并行,成人性内容、三人结构、姐妹称呼与主仆权力差；字幕含拒绝、请求回家与被带走的台词，完整画面与语境未核实。,有精确条目,1339,0.050552599263200985
安达与岛村,adachi_to_shimamura_tv_2020,2020 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,访谈／评论,无,逃课、社会孤立、嫉妒与独占愿望；未经事先确认的突然拉手与拥抱，随后出现明确制止或许可对话。,有精确条目,1343,0.16506470493475808
青之花,aoi_hana_tv_2009,2009 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,可见宣传,并行,列车性骚扰、与年长女性亲属的过往恋爱及年龄／家庭关系差、家人盘问同性关系与性行为、对女高中生身体的评论、学生对成年教师的未获回应爱恋、婚约安排、失恋与分手。,有精确条目,1353,0.16045673076923078
战姬绝唱SYMPHOGEAR XV,senki_zesshou_symphogear_xv_tv_2019,2019 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,超自然战斗、爆炸与重伤、死亡和创伤、神经操控与身体夺取、战争与大规模伤亡威胁。,有精确条目,1365,0.08390177353342429
Smile 光之美少女！,smile_precure_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,幻想战斗与受伤、未成年人遇险、反派操控绝望情绪、亲人离世回忆、世界毁灭威胁、离别悲伤、未确认的青春期异性初恋。,有精确条目,1371,0.031476997578692496
冰雪奇缘,frozen_movie_2013,2013 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本、原作,出版渠道、可见宣传,副线,姐妹长期隔离、失去父母、严寒与魔法失控、角色短暂濒危、求婚表象与背叛。,有精确条目,1374,0.03713877595868586
花物语,hanamonogatari_tv_2014,2014 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,自杀意念与不幸经历、身体异变、欺骗式助人、女性同性爱表达。,有精确条目,1375,0.019860174472560787
玉响,tamayura_ova_2010,2010 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,父亲去世和遗物相机带来的回忆、迁居与重新交友、创作焦虑和长途步行。,有精确条目,1384,0.05271398747390397
天使降临到了我身边！,watashi_ni_tenshi_ga_maiorita_tv_2019,2019 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本、原作,出版渠道、可见宣传,无,大学生对小学五年级儿童的一见钟情式迷恋；甜点换穿服装及拍照；拒绝或限制后继续请求、连拍与偷拍；警察询问；成人同龄人持续观察、尾随和在住处周边活动。,有精确条目,1386,0.11340920697453856
深夜重拳,mayonaka_punch_tv_2024,2024 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,网络炎上与围攻、直播中的肢体冲突、反复追求吸血及身体边界协商、痛感描写、强制转化为吸血鬼的回忆、死亡与长期哀悼、酒精与赌博、欺骗式大型恶作剧。,有精确条目,1393,0.08632523759239705
魔法少女奈叶 Detonation,mahou_shoujo_lyrical_nanoha_detonation_movie_2018,2018 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,访谈／评论、故事／角色页、可见宣传,未知,魔法战斗、重伤、亲友背叛、复仇、家庭病痛、身份控制与暴力画面,有精确条目,1394,0.08073303615651313
魔法少女奈叶StrikerS,mahou_shoujo_lyrical_nanoha_strikers_tv_2007,2007 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,军事组织、未成年队员战斗与重伤、人工生命、保护责任、拷问囚禁、牺牲和创伤。,有精确条目,1395,0.09116076725331224
我们不可能成为恋人！绝对不行。 (※似乎可行？) 〜再次闪耀！〜,watanare_next_shine_tv_2026,2026 TV,主线,主线,明确交往,是,是,是,是,是,是,范围内版本、原作,故事／角色页、可见宣传,无,多名女性围绕同一主角的告白和嫉妒；同时与两人交往及“二股”的讨论；对同性恋爱是否“普通”的自我怀疑；cosplay、旅馆女子会、浴室和身体暴露相关情节；强烈自责与自我贬低。,有精确条目,1408,0.13622452301881877
公主大人“拷问”的时间到了 第二季,himesama_goumon_second_season_tv_2026,2026 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,拘禁与喜剧化拷问、阵营冲突、魔法失控、轻度身体危险和以友情修复敌对关系。,有精确条目,1418,0.01583069488418597
黄金拼图,kin_iro_mosaic_tv_2013,2013 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,高中女生胸围、体型、泳装和脱衣笑话，入浴与内衣段落，对金发与国籍差异的反复夸张笑料。,有精确条目,1445,0.1290381791483113
Love Live! 学园偶像 电影,love_live_school_idol_movie_2015,2015 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,毕业与团体解散压力、异国舞台的不适应、成员离别和未来选择、不对等的偶像凝视笑料。,有精确条目,1447,0.05772658713835185
结城友奈是勇者 -鹫尾须美之章-/-勇者之章-,yuuki_yuuna_washio_yuusha_tv_2017,2017 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,战斗、牺牲与死亡风险、身体衰弱、自伤表述、强烈情绪依存,有精确条目,1448,0.12296841459674947
BanG Dream! 第二季,bang_dream_2nd_season_tv_2019,2019 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,竞赛压力与失败、成员时间冲突、能力差异与临场失误、学校与舞台压力。,有精确条目,1464,0.07489626556016597
玛纳利亚的密友,manaria_friends_tv_2019,2019 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,无,奇幻战斗与校园灾害演习、对身体变化和换装的喜剧性言谈、嫉妒、短暂争执与分离焦虑、以爱情魔药制造的喜剧桥段；本次材料没有确认接吻、交往或性描写。,有精确条目,1468,0.14480692410119841
请问您今天要来点兔子吗？？～Sing for You～,gochuumon_wa_usagi_desu_ka_sing_for_you_ova_2019,2019 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,公开演出焦虑、对亡母的追忆、日常喜剧、自动转写准确度限制,有精确条目,1471,0.09809986743261158
读或死 OVA,rod_read_or_die_ova_2001,2001 OVA,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,副线,间谍行动、枪战、爆炸、克隆与身份置换；南希与男性首领的明确恋爱、操纵和死亡；女女搭档含背叛、牺牲与失去。,有精确条目,1474,0.05360230547550432
风灵玉秀,feng_ling_yu_xiu_web_2017,2017 WEB,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,武打与武器、流血和重伤、绑架与囚禁、下药和中毒、死亡威胁、人体与内力操控、饮酒。,有精确条目,1480,0.15590332805071316
暴力宇宙海贼,mouretsu_uchuu_kaizoku_tv_2012,2012 TV,重要副线,重要副线,明确交往,是,是,是,否,所核未见,所核未见,—,—,无,强迫政治婚约、父权式家族与企业控制、绑架伪装和追捕、公司贪腐与武器走私、宇宙战斗和未成年角色受险。,有精确条目,1500,0.06904122956818737
魍魉之匣,mouryou_no_hako_tv_2008,2008 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,—,—,并行,未成年人受险与死亡、推落站台、连环杀人与肢解、身体恐怖、活体切割与医学实验、亲子虐待与宗教操控、近亲性关系、成年人对未成年人的爱恋、战时人体实验、自杀言行。,有精确条目,1501,0.013780337309749074
Love Live! 第二季,love_live_school_idol_project_season_2_tv_2014,2014 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本、原作,可见宣传,无,毕业与团体解散、失去共同体的焦虑、校园偶像竞争和表演压力、性别气质取笑、泳装／洗浴／更衣相关场景。,有精确条目,1512,0.056422239021373104
六翼天使之声,seraphim_call_tv_1999,1999 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,—,—,并行,双胞胎姐妹接吻与近亲指向、依存和身份融合、梦境中的持刀及自杀表述、未成年裸体绘画模特与施压、偷窥式隐藏摄像、亲人死亡与哀伤、爆炸及事故。,有精确条目,1529,0.0562531391260673
结城友奈是勇者 -鹫尾须美之章- 第3章 约定,yuuki_yuuna_washio_sumi_ch3_movie_2017,2017 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,儿童死亡与葬礼、遗属哀伤、激烈战斗、身体机能及记忆丧失、制度性利用与强制存活。,有精确条目,1552,0.09401709401709402
舞-HiME,mai_hime_tv_2004,2004 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页,主导,睡眠中未经同意的亲吻、占有和强制控制、因恋爱执念伤害第三者、针对女性同性亲密的侮辱性措辞、精神操控与灌输、战斗伤害、暂时性死亡与哀恸、性化画面与裸露。,有精确条目,1565,0.11375249944456788
邪神与厨二病少女’,jashin_chan_dropkick_dash_tv_2020,2020 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,无,肢解与出血黑色喜剧、强制同居、谋杀企图、赌博与借贷、跟踪和权力滥用、饥饿及性化笑料,有精确条目,1607,0.07025478667269712
对圣母玛利亚保密喔,maria_sama_niwa_naisho_ova_2004,2004 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,片场／NG 恶搞、摔打与失态笑料、贬损性称呼、酒精与醉酒笑话、裙装／内衣／换装笑料，以及局部男友与婚姻假设。,有精确条目,1607,0.15083798882681565
电影 摇曳露营△,yuru_camp_movie_2022,2022 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,成年工作压力、项目中止、露营施工与户外安全风险。,有精确条目,1633,0.06387043945045946
少女手工,do_it_yourself_tv_2022,2022 TV,重要副线,重要副线,明显但未确认,否,否,是,否,所核未见,所核未见,—,—,无,工具误操作与反复轻伤的喜剧化表现、丧亲回忆、短暂离别,有精确条目,1641,0.05814876908144357
随风舞月影兰,tsukikage_ran_tv_2000,2000 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,刀剑与拳脚暴力、绑架及人口贩卖、婴儿遇险、药物依赖与死亡、宗教诈骗和纵火、诬告与未遂处刑、喜剧性裸露及偷窥,有精确条目,1644,0.07389162561576355
百合熊风暴,yuri_kuma_arashi_tv_2015,2015 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,故事／角色页,无,死亡、枪击与食人意象，校园欺凌和集体排除，性化裸露与暗示，成年人对未成年学生的捕食性接近及强迫接吻未遂，嫉妒、背叛、丧亲、童年伤害、记忆抹除与身体变形。,有精确条目,1656,0.1379544682296976
电影 Love Live! 虹咲学园校园偶像同好会 完结篇 第2章,love_live_nijigasaki_final_chapter_part_2_movie_2025,2025 剧场动画,主线,未知,未知,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,校园偶像比赛、公开表演、跨城市活动与竞争压力；公开简介不等于完整正片。,有精确条目,1681,0.06490179333902647
强袭魔女 剧场版,strike_witches_movie_2012,2012 剧场动画,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,战争、空战、负伤和牺牲风险；部队解散与重组压力；频繁裸体、内衣式服装和身体凝视笑料；前后辈崇拜、守护和分离情绪。,有精确条目,1687,0.10546334716459198
英雄联盟：双城之战 第二季,arcane_season_2_web_2024,2024 WEB,主线,重要副线,明确交往,是,是,是,是,所核未见,所核未见,范围内版本,访谈／评论、可见宣传,未知,战争、死亡与儿童受伤威胁、姐妹创伤、监禁与政治暴力、酒精滥用、地下格斗、自我毁灭／自杀意念、背叛，以及 Vi／Caitlyn 的冲突与高强度情感对话。,有精确条目,1695,0.006850736973219846
天才麻将少女 阿知贺篇,saki_achiga_hen_tv_2012,2012 TV,主线,重要副线,明显但未确认,否,否,是,是,是,所核未见,范围内版本,HTML 元数据,无,对高中女生胸部的性化台词、洗浴对话、严重晕厥与住院、丧母回忆和高压竞赛。,有精确条目,1725,0.12530259365994237
强袭魔女2,strike_witches_2_tv_2010,2010 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,战争与空战、青少年参战、负伤与死亡威胁、频繁裸体及内衣式服装、身体凝视与浴室笑料、带性意味的接触、牺牲式守护。,有精确条目,1745,0.10875390799464046
忍者与杀手二人组的日常生活,ninja_to_koroshiya_no_futarigurashi_tv_2025,2025 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,可见宣传,无,频繁的喜剧化杀人、肢解与尸体处理，流血和重伤，绑架与监禁，强制人体实验和身体改造，年龄倒退，家庭谋杀与创伤，跟踪监视，性化身体笑料，赌博成瘾与经济利用。,有精确条目,1750,0.10005273864235667
蔷薇少女 序曲,rozen_maiden_ouverture_ova_2006,2006 TV 特别篇,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,未知,人偶身份与未完成状态、父亲承认焦虑、身体衰弱与行走练习、战斗、关系破裂及虐待性言语。,有精确条目,1764,0.02965235173824131
AIURA,aiura_tv_2013,2013 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,喜剧化肘击、敲打、假死与死亡玩笑；心肺复苏假设；拍摄未成年女高中生裸腿的笑话,有精确条目,1766,0.06973532796317607
偶像大师 灰姑娘女孩 第二季,the_idolmaster_cinderella_girls_second_season_tv_2015,2015 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、可见宣传,无,项目解体威胁、竞争性选拔、工作压力、失去自信、组合路线冲突。,有精确条目,1778,0.022269353128313893
魔女之旅,majo_no_tabitabi_tv_2020,2020 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,—,—,副线,反复求婚与共同生活要求被喜剧化处理、魔法导致的非自愿情感暴露、姐妹间欲望、身体互换、家庭虐待暗示、奴役、怀孕与亲人或恋人被杀、较强暴力和血腥场面、身体边界侵犯。,有精确条目,1790,0.08717894902536925
小鸟之翼 高尔夫少女,birdie_wing_season_1_tv_2022,2022 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,可见宣传,无,地下赌博与犯罪组织胁迫、枪击与致命暴力、贫困和强制拆迁、带性意味的威吓与身体边界侵犯、未成年角色处于高风险环境、少量裸露与性化玩笑,有精确条目,1807,0.12496604183645749
穷神,binbougami_ga_tv_2012,2012 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,未经同意的触摸与女浴区侵入、偷窥／性骚扰笑料、胸部和身体羞辱、性化服装、暴力与强制夺取能力、校园排斥与背叛回忆、家庭缺席、身体及人格变化危机。,有精确条目,1816,0.033490509007375165
Love Live!,love_live_school_idol_project_tv_2013,2013 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,过度训练后病倒、朋友隐瞒离别计划与关系破裂、未经同意的胸部触碰笑料、泳装与洗浴场景、外貌及体型笑料。,有精确条目,1820,0.058780523468343324
恋爱研究所,renai_laboratory_tv_2013,2013 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,喜剧化敲打与轻度身体冲突；校规对男女交往的惩戒威胁；性别气质、胸部和外貌玩笑；深色妆容及模仿表演构成的肤色／种族刻板笑料,有精确条目,1828,0.11274753706836502
天使特警,kiddy_grade_tv_2002,2002 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,科幻战斗与死亡、阶级压迫、记忆操控、身体更替与复制人、自杀意念、药物与医疗危机、儿童受威胁、少量性化画面及骚扰式玩笑。,有精确条目,1840,0.11144130757800892
竹剑少女,bamboo_blade_tv_2007,2007 TV,重要副线,重要副线,明确欲望,否,是,是,否,所核未见,所核未见,—,—,副线,跟踪、反复拍摄及制作等身人像，利用他人制造嫉妒；另有对手队友冒充家属、把参赛者骗离赛场并反锁，校园斗殴、欺凌、比赛受伤及师长失职。,有精确条目,1852,0.05349276274386407
神推偶像登上武道馆我就死而无憾,oshi_ga_budoukan_ittekuretara_shinu_tv_2020,2020 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本、原作,出版渠道、故事／角色页,并行,把全部收入投入唱片及付费接触、带病工作与观演、鼻血／骨折／声带受损等夸张伤病笑料、窥视或共浴等未实行的越界幻想、偶像恋爱禁忌与绯闻压力。,有精确条目,1855,0.12339157524041718
房间露营△,heya_camp_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,短篇节奏压缩关系细节；旅行、骑行和道路活动风险；地方传说带来的短暂惊吓。,有精确条目,1864,0.04707985697258641
前桥魔女,maebashi_witches_tv_2025,2025 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,校园排斥与身体羞辱、家庭压力和丧亲、对记忆的消除与身份动摇、顾客遭遇的单恋和关系欺瞒、愿望被替人决定、社交媒体比较、经济／学业压力、青少年被成年人操纵参与魔法劳动。,有精确条目,1865,0.04797475013150973
玛利亚狂热,maria_holic_tv_2009,2009 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本,故事／角色页,无,以女同性欲望和鼻血作反复笑料、对女学生身体的性化凝视、胁迫与秘密威胁、被迫同住和持续监视、羞辱性称呼与校园排斥、性别表达被用于欺骗与揭露笑料、宗教学校意象的戏仿。,有精确条目,1867,0.09292412617220801
光之美少女,futari_wa_precure_tv_2004,2004 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页,副线,幻想战斗与未成年人遇险、敌方胁迫和身份消失、离别与哀伤、校园冲突。,有精确条目,1883,0.04456571168713051
夜樱四重奏 花之歌,yozakura_quartet_hana_no_uta_tv_2013,2013 TV,重要副线,局部,明确欲望,否,是,是,否,所核未见,是,范围内版本,故事／角色页,副线,奇幻战斗与未成年人遇险、附身和强制送往异界的威胁、青少年角色的泳装／身体笑料、姐妹死亡与家庭创伤、人类—妖怪歧视和牺牲政策、饮酒笑料。,有精确条目,1929,0.018857758620689655
Endro~！,endro_tv_2019,2019 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,无,奇幻战斗与怪物威胁、时间回溯和记忆改写、朋友策划的虚假绑架、泳装与面向年轻角色的服务性画面、学校及师生权力结构,有精确条目,1930,0.10121611350392704
回忆中的玛妮,omoide_no_marnie_movie_2014,2014 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,访谈／评论、可见宣传,副线,哮喘与慢性病、童年忽视与女仆欺凌、寄养与家庭遗弃焦虑、发烧与筒仓相关恐惧、父母死亡与哀伤、跨代家庭创伤和记忆混淆。,有精确条目,1934,0.03550784475639967
侦探歌剧 少女福尔摩斯 ～逆袭的少女福尔摩斯～,tantei_opera_milky_holmes_gyakushu_movie_2016,2016 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,夸张战斗、温泉与身体笑料、能力丧失、团队挫败、催眠操控、侦探／怪盗／警察多方冲突。,有精确条目,1940,0.06367041198501873
上伊那牡丹，酒醉身姿似百合花般,kamiina_botan_tv_2026,2026 TV,主线,主线,明确交往,是,是,是,是,所核未见,所核未见,—,—,无,贯穿全季的饮酒与醉态、吸烟、夜间酒吧及俱乐部、醉后判断能力降低、穿耳洞与亲密行动中的边界确认、关系不确定与嫉妒。,有精确条目,1962,0.1481464079312127
轻声密语,sasameki_koto_tv_2009,2009 TV,主线,主线,明确交往,是,是,是,是,所核未见,是,范围内版本,故事／角色页,副线,单恋、拒绝与失去友谊焦虑、同性倾向带来的孤立与污名压力、以喜剧处理的暴露隐私和胁迫、女装及性别表达喜剧、涉及青少年角色的泳装／服务性画面、空手道暴力与肢体喜剧,有精确条目,1966,0.17697919481221291
库拉乌 幻之记忆,kurau_phantom_memory_tv_2004,2004 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,追捕与拘禁、人体与能源实验、身体分解及身份置换、战争与恐怖活动、死亡和哀伤、儿童受伤、强制结对。,有精确条目,1978,0.08806818181818182
魔法使光之美少女！！～未来之日～,mahou_tsukai_precure_mirai_days_tv_2025,2025 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,幻想战斗与受伤、时间停止、记忆丧失、世界范围危机、家庭式照护、分离与重逢。,有精确条目,2010,0.07311500380807312
