作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
Love Live! 学园偶像 电影,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,毕业与团体结束压力、异国行程、离别与未来选择。,有可对应条目,1443,0.05763964950711939,无,无,0,无
结城友奈是勇者 -鹫尾须美之章-/-勇者之章-,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,战斗、牺牲与死亡风险、身体衰弱、自伤表述、强烈情绪依存,有可对应条目,1449,0.1228794131132508,有,无可对应条目,50,无
请问您今天要来点兔子吗？？～Sing for You～,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,公开演出焦虑、对亡母的追忆、日常喜剧、自动转写准确度限制,有可对应条目,1465,0.09806224310041103,无,无,0,无
玛纳利亚的密友,主线,文类内百合,主线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,无,奇幻战斗与校园灾害演习、对身体变化和换装的喜剧性言谈、嫉妒、短暂争执与分离焦虑、以爱情魔药制造的喜剧桥段；现有材料没有确认接吻、交往或性描写。,有可对应条目,1468,0.14457831325301204,有,有,88,无
BanG Dream! 第二季,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,竞赛压力与失败、成员时间冲突、能力差异与临场失误、学校与舞台压力。,有可对应条目,1474,0.07483764560354603,有,无,20,无
读或死 OVA,主线,文类外百合阅读,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,间谍行动、枪战、爆炸、克隆与身份置换；男女恋爱、操纵、背叛、牺牲与死亡。,有可对应条目,1475,0.05337159253945481,有,无,0,无
风灵玉秀,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,副线,武打与武器、流血和重伤、绑架与囚禁、下药和中毒、死亡威胁、人体与内力操控、饮酒。,有可对应条目,1476,0.15541074249605055,有,有,84,无
暴力宇宙海贼,重要副线,文类外百合阅读,重要副线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋读者解读,无,强迫政治婚约、父权式家族与企业控制、绑架伪装和追捕、公司贪腐与武器走私、宇宙战斗和未成年角色受险。,有可对应条目,1501,0.069167072576717,有,无,0,无
魍魉之匣,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,并列,未成年人受险与死亡、推落站台、连环杀人与肢解、身体恐怖、活体切割与医学实验、亲子虐待与宗教操控、近亲性关系、成年人对未成年人的欲望、战时人体实验、自杀言行。,有可对应条目,1510,0.013960172449189078,无,无,0,无
Love Live! 第二季,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本、原作,可见宣传,正篇事实＋强推断＋读者解读,无,毕业与团体解散、失去共同体的焦虑、校园偶像竞争和表演压力、性别气质取笑、泳装／洗浴／更衣相关场景。,有可对应条目,1513,0.05629456939111355,无,无,0,无
六翼天使之声,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,并列,双胞胎姐妹接吻与近亲指向、依存和身份融合、女女关系中的施压与边界侵犯、裸体绘画模特、偷窥式隐藏摄像、梦境中的持刀及自杀表述、亲人死亡与哀伤、爆炸及事故。,有可对应条目,1528,0.05658487731597396,有,无,0,无
结城友奈是勇者 -鹫尾须美之章- 第3章 约定,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,儿童死亡与葬礼、遗属哀伤、激烈战斗、身体机能及记忆丧失、制度性利用与强制存活。,有可对应条目,1550,0.09375,有,无,0,无
舞-HiME,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实、强推断、读者解读,主导,睡眠中非自愿亲吻、占有与控制、针对第三者的暴力、同性欲望污名化、精神操控、朋友间强制战斗、暂时死亡、哀伤、裸露与性化画面。,有可对应条目,1571,0.11355067642492792,有,无,62,有
邪神与厨二病少女’,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,企划、范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,肢解与出血黑色喜剧、强制同居、谋杀企图、赌博与借贷、跟踪和权力滥用、饥饿及性化笑料,有可对应条目,1602,0.07045744760760159,有,无,10,无
对圣母玛利亚保密喔,主线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,片场／NG 恶搞、摔打与失态笑料、贬损性称呼、酒精与醉酒笑话、裙装／内衣／换装笑料，以及局部男友与婚姻假设。,有可对应条目,1618,0.15213358070500926,有,有,79,有
电影 摇曳露营△,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,成年工作压力、项目中止、地方设施改造、露营施工与户外安全风险。,有可对应条目,1631,0.06369484461357253,无,无,0,无
随风舞月影兰,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,副线,刀剑与拳法暴力、绑架和人口贩运、药物依赖与死亡、宗教诈骗、诬告与处刑威胁，以及喜剧性裸露和偷窥,有可对应条目,1633,0.07352941176470588,有,无,0,无
少女手工,重要副线,文类外百合阅读,重要副线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,工具误操作与反复轻伤的喜剧化表现、丧亲回忆、短暂离别,有可对应条目,1639,0.05823876132664731,有,无,36,无
百合熊风暴,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实,无,死亡、枪击与食人意象，校园欺凌和集体排除，性化裸露与暗示，成年人对未成年学生的捕食性接近及强迫接吻未遂，嫉妒、背叛、丧亲、童年伤害、记忆抹除与身体变形。,有可对应条目,1655,0.13782196113872572,有,有,94,有
英雄联盟：双城之战 第二季,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,访谈／评论、可见宣传,正篇事实＋强推断＋读者解读,副线,战争、死亡与儿童受伤威胁、姐妹创伤、监禁与政治暴力、酒精滥用、地下格斗、自我毁灭／自杀意念、背叛，以及 Vi／Caitlyn 的冲突与高强度情感对话。,有可对应条目,1694,0.006825232678386763,无,无可对应条目,无可对应条目,无可对应条目
强袭魔女 剧场版,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,战争、空战、负伤和牺牲风险；部队解散与重组压力；频繁裸体、内衣式服装和身体凝视笑料；前后辈崇拜、守护和分离情绪。,有可对应条目,1695,0.10517241379310345,有,无,0,无
天才麻将少女 阿知贺篇,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,是,所核未见,范围内版本,HTML 元数据,正篇事实＋强推断,无,麻将竞技压力、晕厥与住院、丧母回忆、对高中女生身体的性化玩笑。,有可对应条目,1726,0.12504309849442594,有,无,83,无
强袭魔女2,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,战争与空战、青少年参战、负伤与死亡威胁、频繁裸体及内衣式服装、身体凝视与浴室笑料、带性意味的接触、牺牲式守护。,有可对应条目,1748,0.10851158645276292,有,无,55,无
忍者与杀手二人组的日常生活,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,可见宣传,正篇事实／强推断／读者解读,无,频繁杀人、肢解与尸体处理，血腥重伤、绑架监禁、非自愿人体实验、年龄倒退与身份扰乱、家庭创伤、身体笑料、赌博成瘾和经济剥削。,有可对应条目,1750,0.10012759888913908,无,无,77,无
蔷薇少女 序曲,主线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,正篇事实＋强推断＋读者解读,无,人偶未完成状态、创造者承认焦虑、身体衰弱与行走练习、战斗、关系破裂及伤害性言语。,有可对应条目,1761,0.029606942317508933,有,无,0,无
AIURA,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,喜剧化肘击、敲打、假死与死亡玩笑；心肺复苏假设；拍摄未成年女高中生裸腿的笑话,有可对应条目,1773,0.06956521739130435,有,无,0,无
偶像大师 灰姑娘女孩 第二季,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,项目解体威胁、竞争性选拔、工作压力、失去自信、情绪低落、组合分流、舞台责任与未成年人过劳风险。,有可对应条目,1777,0.022231632437010374,无,无,0,无
魔女之旅,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,反复求婚与共同生活要求被喜剧化处理、魔法导致的非自愿情感暴露、姐妹间欲望、身体互换、家庭虐待暗示、奴役、怀孕与亲人或恋人被杀、较强暴力和血腥场面、身体边界侵犯。,有可对应条目,1785,0.08707110241356816,有,无,52,无
穷神,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,未经同意的触摸与女浴区侵入、偷窥／性骚扰笑料、胸部和身体羞辱、性化服装、暴力与强制夺取能力、校园排斥与背叛回忆、家庭缺席、身体及人格变化危机。,有可对应条目,1814,0.03339361060880048,无,无,0,无
Love Live!,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,过度训练后病倒、朋友隐瞒离别计划与关系破裂、未经同意的胸部触碰笑料、泳装与洗浴场景、外貌及体型笑料。,有可对应条目,1815,0.05861767279090114,无,无,0,无
小鸟之翼 高尔夫少女,主线,文类内百合,主线,明确女女恋爱欲望,单一主要关系记录,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,无,地下赌博与犯罪组织胁迫、枪击与致命暴力、贫困和强制拆迁、带性意味的威吓与身体边界侵犯、未成年角色处于高风险环境、少量裸露与性化玩笑,有可对应条目,1822,0.12472885032537961,有,无,46,无
恋爱研究所,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,校园纪律压力、秘密与谎言引发的信任破裂、学生恋爱被调查、恋爱练习中的性别角色笑料。,有可对应条目,1824,0.1126327279944428,有,无,0,无
天使特警,主线,文类内百合,主线,潜在恋爱,单一主要关系记录,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,副线,科幻战斗与死亡、阶级压迫与制度暴力、记忆操控、身体更替与复制人、自杀意念、药物及医疗危机、儿童受威胁、少量性化画面及骚扰式玩笑,有可对应条目,1846,0.11127596439169139,有,无,70,无
竹剑少女,重要副线,文类外百合阅读,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋读者解读,副线,跟踪、反复拍摄及制作等身人像，利用他人制造嫉妒；另有冒充家属、把参赛者骗离赛场并反锁、校园斗殴、欺凌、比赛受伤及师长失职。,有可对应条目,1854,0.05339195979899498,有,无,0,无
神推偶像登上武道馆我就死而无憾,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本、原作,出版渠道、故事／角色页,正篇事实＋强推断,并列,大额购买唱片和付费接触、带病或受伤工作与观演、夸张伤病喜剧、偶像恋爱禁忌、绯闻压力和粉丝占有欲。,有可对应条目,1856,0.12327656123276562,有,有,85,无
房间露营△,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／读者解读,无,短篇节奏、旅行与道路活动、轻度地方传说惊吓,有可对应条目,1866,0.04692325968163459,无,无,0,无
前桥魔女,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,无,校园排斥与身体羞辱、家庭压力和丧亲、记忆消除与身份动摇、顾客遭遇的单恋和关系欺瞒、愿望被替人决定、社交媒体比较、经济／学业压力、青少年被成年人操纵参与魔法劳动。,有可对应条目,1868,0.04808800419067575,无,无,46,无
玛利亚狂热,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本,故事／角色页,正篇事实／强推断,无,以女性向欲望和鼻血作反复笑料、对女学生身体的性化凝视、胁迫与秘密威胁、被迫同住和监视、羞辱性称呼与校园排斥、性别表达被用于欺骗和揭露笑料、宗教学校意象戏仿。,有可对应条目,1874,0.09301760777170613,有,有,79,有
光之美少女,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,副线,幻想战斗与未成年人遇险、敌方胁迫、离别与哀伤、校园冲突。,有可对应条目,1908,0.04446460980036298,无,无,0,无
夜樱四重奏 花之歌,重要副线,文类外百合阅读,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,副线,奇幻战斗与未成年人遇险、附身和强制送往异界的威胁、青少年角色的泳装／身体笑料、姐妹死亡与家庭创伤、人类—妖怪歧视和牺牲政策、饮酒笑料。,有可对应条目,1928,0.018822264049475665,无,无,0,无
Endro~！,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,奇幻战斗与怪物威胁、时间回溯与记忆影响、朋友实施的绑架骗局、涉及年轻外形角色的泳装及性化画面、学校与师生权力结构,有可对应条目,1932,0.10104837691044588,有,无,66,无
回忆中的玛妮,主线,文类外百合阅读,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,访谈／评论、可见宣传,正篇事实／强推断／读者解读,副线,哮喘与慢性病、童年忽视与女仆欺凌、寄养与家庭遗弃焦虑、发烧与筒仓恐惧、父母死亡与哀伤、跨代家庭创伤和记忆混淆。,有可对应条目,1941,0.03539094650205761,无,无,0,无
侦探歌剧 少女福尔摩斯 ～逆袭的少女福尔摩斯～,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,夸张战斗、温泉与身体笑料、能力丧失、团队挫败、催眠操控、侦探／怪盗／警察多方冲突。,有可对应条目,1947,0.06351183063511831,无,无,0,无
轻声密语,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实／强推断,副线,单恋、拒绝与失去友谊焦虑、同性倾向带来的孤立与污名压力、以喜剧处理的暴露隐私和胁迫、女装及性别表达喜剧、涉及青少年角色的泳装／服务性画面、空手道暴力与肢体喜剧,有可对应条目,1958,0.17726293103448276,有,有,92,有
上伊那牡丹，酒醉身姿似百合花般,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,贯穿全季的饮酒与醉态、吸烟、夜间酒吧及俱乐部、醉后判断能力降低、穿耳洞与亲密行动中的边界确认、关系不确定与嫉妒。,有可对应条目,1975,0.1480625173402386,有,有,92,有
库拉乌 幻之记忆,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线，终话英语字幕出现圣诞称泰德为男朋友的局部材料,追捕与拘禁、人体与能源实验、身体分解及身份置换、战争与恐怖活动、死亡和哀伤、儿童受伤、强制结对。,有可对应条目,1982,0.08781869688385269,有,无,0,无
荒野的寿飞行队,主线,文类外百合阅读,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,空战、枪炮、坠机与伤亡风险，政治强迫与宣传，饮酒，异性调情、求婚及失败婚姻笑料,有可对应条目,2027,0.0205,有,无,0,无
莉可丽丝：友谊是时间的窃贼,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,轻度枪械与秘密组织设定、幽灵恶作剧、留宿与换制服桥段。,有可对应条目,2039,0.057866037275168876,无,无,60,无
Fate/kaleid liner 魔法少女☆伊莉雅 2wei Herz!,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,未成年角色之间围绕亲吻／唾液补给的台词与尴尬玩笑、角色犹豫的补给台词、男性恋爱药剂、魔法战斗与生命危险,有可对应条目,2041,0.09806629834254144,有,无,20,无
魔法使光之美少女！！～未来之日～,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,奇幻战斗、儿童与青少年遇险、时间停止、记忆丧失、亲子分离、胁迫与世界危机。,有可对应条目,2046,0.07256235827664399,有,无,80,无
糖果男孩,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断,无,亲生双胞胎姐妹的恋爱方向、血亲题材、自动字幕证据限制,有可对应条目,2055,0.17949603037625128,有,有,79,有
牵牛花与加濑同学。,主线,文类内百合,主线,明确女女交往关系,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,访谈／评论、可见宣传,正篇事实＋官方表述＋强推断,无,初次交往中的不安、嫉妒与沟通困难，毕业／升学带来的未来压力。,有可对应条目,2061,0.1852511125238398,有,有,99,有
Fate/kaleid liner 魔法少女☆伊莉雅 2wei!,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,未成年角色的性化喜剧、亲吻式魔力补给与身体边界问题、义兄恋爱笑点、魔法战斗与生命危险,有可对应条目,2065,0.09947597477573497,有,无,70,无
代号17,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页,正篇事实／强推断／读者解读,副线,儿童死亡与长期哀伤、怪物暴力和身体恐怖、儿童陷入战斗、人工生命体死亡与被迫分离、复制／操纵／消除记忆、姐妹身份与恋爱方向叠加、强烈依赖及分离焦虑、丧亲。,有可对应条目,2096,0.06619144602851323,无,无,0,无
结城友奈是勇者 -鹫尾须美之章- 第2章 魂,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,未成年少女战斗、受伤、角色死亡、同伴哀伤与未完成约定,有可对应条目,2106,0.09052778748689269,有,无,0,无
剧场版 BanG Dream! Poppin'Dream！,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,承接 TV 第三季、海外旅行、舞台压力、临场受伤与完整剧透,有可对应条目,2109,0.058885754583921014,有,无,0,无
mono女孩,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断,无,网络恶评与传言扩散、危险驾驶及下坡滑板、暴食与肠胃不适笑料、幽灵及伪纪录恐怖、短暂绝望时的随口轻生表达、动物遇险。,有可对应条目,2114,0.05054410080183276,无,无,79,无
向山进发,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无；第 1 话只有男朋友玩笑与童年米田君转述，属于局部提及而非关系线,童年坠落骨折与恐高、初学登山风险、坏鞋下山。,有可对应条目,2117,0.10866119037325263,有,无,50,无
黑街二人组,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,暗杀、枪击、刺伤与死亡，犯罪组织和政治暴力，儿童杀手训练、失忆与身份操纵，邪教式控制与强迫仪式，家人被杀与复仇，要求对方杀死自己，强迫性的“死亡之吻”威胁和身体控制，火灾、溺水及心理崩溃。,有可对应条目,2176,0.10192973775358734,有,无,60,无
结城友奈是勇者,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,未成年人在信息不完整的情况下被投入战斗、身体机能损失、失忆、残障、制度操控、自毁式牺牲、自杀念头、毁灭世界的行动与末世威胁。,有可对应条目,2177,0.10339350180505415,有,无,79,无
爱杀宝贝,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋读者解读,无,频繁喜剧化击打、关节技、刀枪与暗杀笑话；意外身体接触；公共浴室与身体笑点；情人节恋爱惯例及误认,有可对应条目,2180,0.04340262677220144,有,无,0,无
珈百璃的堕落,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,女性间性化骚扰、索取内衣、窥视／拍摄企图、身体笑料、未经同意入室、捆绑与打闹。,有可对应条目,2187,0.10410485597326022,有,无,0,无
SSSS.古立特,重要副线,文类外百合阅读,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,并列,怪兽暴力与城市破坏、死亡及记忆被抹除、刺伤与流血、失忆和身份置换、情感操纵、梦境诱导、自我否定。,有可对应条目,2188,0.002203742203742204,无,无,0,无
樱Trick,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断,无,突然发起的亲吻与边界误会、对未成年角色的性化身体笑料、亲戚关系、家族安排的男性婚约。,有可对应条目,2195,0.18027355364879788,有,有,98,有
影宅 第二季,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,主从等级、洗脑与人格剥夺、强制融合、共同跳楼与处分威胁、馆邸监视、单向恋爱与权力不平等。,有可对应条目,2231,0.04155124653739612,无,无,0,无
我家也有外星人,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断,副线,贫困与食物不安全、居住和劳动不对等、异族／阶层歧视用语、族裔刻板描写、性骚扰笑料、丧亲与家园可能消失。,有可对应条目,2232,0.04323211528564076,有,无,0,无
玛利亚狂热 ALIVE,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本,故事／角色页,正篇事实／强推断／读者解读,无,女性向欲望、鼻血与身体凝视被反复用于喜剧；女学生身体、气味与梦境场景被性化；鞠也和茉莉花的捉弄与辛辣言辞；梦境和夸张想象不能单独当作现实交往证据。,有可对应条目,2240,0.07659483678259014,有,有,92,有
Re: 甜心战士,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇文本＋有限推断,无,成人向性化台词语境、暴力、强制同化；未作逐镜视觉判断,有可对应条目,2241,0.07449605609114812,有,无,70,有
放学后海堤日记,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实,无,捕捉、处理和食用鱼类及海洋生物，活饵与昆虫，利用主人公恐惧促成入部，成人教师饮酒后向学生说结婚与亲吻笑话并遭拒绝，泳装与身体笑料，水上安全风险。,有可对应条目,2281,0.07050720100187852,有,无,0,无
黄金拼图 Pretty Days,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,校园文化祭准备、过度努力的喜剧化描写、女生之间的争宠与暧昧笑料、跨文化误解、身体与更衣话题笑料,有可对应条目,2289,0.11805749372034607,有,无,0,无
漫画女孩,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,无,未成年人物的身体／内衣／泳装／沐浴与胸部笑料、剧中 TL 与成人性内容讨论、尾随和惊吓式边界侵犯、成人醉酒、体重与节食笑料、强烈自我否定和退稿压力、恐怖与血迹意象,有可对应条目,2295,0.11553619580999792,无,无,77,无
BanG Dream! 少女乐团派对！5周年纪念动画 -CiRCLE THANKS PARTY!-,主线,文类内百合,缺席,非恋爱,单一主要关系记录,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,群像切换频繁、场地受损后的紧急修复与演出压力。,有可对应条目,2311,0.06494464944649446,无,无,0,无
顶点!!!!!!!!!!!!!!!,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实／读者解读,副线,暗杀误会、伪造自杀与诅咒故事、跟踪与偷窥误会、喜剧性暴力和武器、VR 战斗、身体笑料、诈骗与网络攻击。,有可对应条目,2324,0.05505685218432076,无,无,0,无
