作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
剧场版总集篇 少女乐队的呐喊 青春狂走曲,2025,剧场动画,2025 年 10 月 3 日上映的剧场总集篇前篇《青春狂走曲》正片 1 部；本片官方剧场版介绍、故事页及精确数据库条目,主线,文类内百合,缺席,非恋爱,8,主线 2、重要副线 6,非恋爱 8,双向 6、相互性未确认 2,Togenashi Togeari 五人乐队共同体（主线／非恋爱／双向）；仁菜—桃香（主线／非恋爱／双向）；仁菜—昴（重要副线／非恋爱／双向）；智—Rupa（重要副线／非恋爱／双向）；仁菜—Hina（重要副线／非恋爱／相互性未确认）；桃香—旧 Diamond Dust（重要副线／非恋爱／相互性未确认）；昴—祖母（重要副线／非恋爱／双向）；桃香—Mine（重要副线／非恋爱／双向）,所核未见,所核未见,企划／系列、当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,是,是,否,否,校园霸凌经历与旧友决裂；离家、辍学、家庭控制与亲子冲突；父母遗弃、丧亲与孤独经历；女子乐队解散创伤、激烈争执和泼洒饮料；成年人饮酒场面,音乐,日本,原创,1830,0.020735155513666354,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/girls_band_cry_seishun_kyousoukyoku_movie_2025/
天使特警,2002,TV 动画,2002 至 2003 年 TV 动画正式第 1–24 话,主线,文类内百合,主线,潜在恋爱,1,主线 1,潜在恋爱 1,双向 1,Éclair—Lumière（主线／潜在恋爱／双向）,所核未见,所核未见,,,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,"science-fiction combat and death；class oppression and institutional violence；memory manipulation, body replacement and replicas；suicidal ideation；drug and medical crises；children in danger；limited sexualized imagery and harassment jokes",科幻,日本,原创,1846,0.11127596439169139,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/kiddy_grade_tv_2002/
宇宙星路,2003,TV 动画,2003 年 4 月 2 日至 9 月 24 日播出的电视动画正篇第 1—26 话；与 Bangumi 2326、AniList 113、MyAnimeList 113 精确对应的已完结电视版本,重要副线,非百合,缺席,非恋爱,4,重要副线 4,非恋爱 4,双向 4,片濑志麻—阿里莎·格伦诺斯的挚友关系（重要副线／非恋爱／双向）；志麻、阿里莎、弥生、晶与琳娜的女性朋友共同体（重要副线／非恋爱／双向）；藤泽弥生—町田初佳的竞争、伤害与宽恕（重要副线／非恋爱／双向）；片濑志麻—风祭琳娜的竞争与飞行搭档关系（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,范围内无依据,主导,高,否,否,否,否,否,否,否,否,是,是,否,否,大规模宇宙灾难与伤亡风险；训练事故、故意攻击与创伤后反应；青少年恋爱冲突、孤立感与情绪崩溃,科幻,日本,原创,1848,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/uchuu_no_stellvia_tv_2003/
竹剑少女,2007,TV 动画,TV 动画第 1–26 话，以 DVD 收录版本为准,重要副线,文类外百合阅读,重要副线,明确欲望,3,重要副线 3,明确欲望 1、非恋爱 2,双向 2、单向 1,纪梨乃—鞘子（重要副线／非恋爱／双向）；都—怜美（重要副线／明确欲望／单向）；珠姬—凛（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,副线,高,否,否,否,是,是,否,否,否,否,是,否,否,stalking_and_surveillance；repeated_photography_and_life_size_image；jealousy_manipulation；deception_and_confinement；school_bullying_and_violence；sports_injury；teacher_negligence,校园,日本,漫画改,1854,0.05339195979899498,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/bamboo_blade_tv_2007/
神推偶像登上武道馆我就死而无憾,2020,TV 动画,2020 年 TV 动画正篇第 1–12 话；TV 动画官网介绍及电视台分话指南，仅作为辅助资料；在线数据库的文类、主题与社区标签字段，仅作为外部分类证据,主线,文类内百合,主线,明确欲望,4,主线 1、重要副线 2、局部 1,明确欲望 1、潜在恋爱 1、非恋爱 2,双向 4,绘里飘—市井舞菜（主线／明确欲望／双向）；伯方真妃—水守优美莉（重要副线／潜在恋爱／双向）；五十岚玲绪—松山空音（局部／非恋爱／双向）；ChamJam 女性成员共同体（重要副线／非恋爱／双向）,是,是,原作、当前版本,出版载体、剧情／角色页,只有明确关系事实,并列,高,否,否,是,是,是,是,否,否,是,是,是,是,repeated_spending_of_income_on_cds_and_paid_fan_contact；working_and_attending_events_while_ill_or_injured；nosebleed_fracture_and_vocal_injury_used_as_exaggerated_comedy；unacted_intrusive_fantasies_about_peeking_and_bathing；idol_romance_taboo_rumor_pressure_and_fan_possessiveness,,日本,漫画改,1856,0.12327656123276562,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/oshi_ga_budoukan_ittekuretara_shinu_tv_2020/
房间露营△,2020,TV 动画,2020 年播出的 TV 短篇动画第 1–12 话，每话约 3 分 30 秒；从《ツナ缶のなぞ》到《へやキャン△》的官方播出顺序,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 1、局部 1,非恋爱 3,双向 3,野外活动社三人组（主线／非恋爱／双向）；志摩凛与野外活动社（重要副线／非恋爱／双向）；斋藤惠那与主要角色群（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,无,中,否,否,否,否,否,是,是,是,否,是,否,否,短篇节奏可能压缩情节与角色关系细节；旅行、骑行、道路与户外活动风险以轻松喜剧方式呈现；部分地方传说和夸张故事可能造成短暂惊吓；未出现范围内女女恋爱确认，但不应将身份未知改写为异性恋身份,日常,日本,漫画改,1866,0.04692325968163459,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/heya_camp_tv_2020/
前桥魔女,2025,TV 动画,2025 年 TV 动画第 1–12 话，于 2025 年 4 月 6 日至 6 月 22 日播出,主线,文类内百合,缺席,非恋爱,2,主线 1、重要副线 1,非恋爱 2,双向 1、相互性未确认 1,五位魔女见习生（主线／非恋爱／双向）；上泉マイ—優愛（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,"school exclusion, bullying and body shaming；family pressure and parental bereavement；memory erasure and identity distress；unrequited love and relationship deception in episodic client stories；other people deciding or altering a person's wishes；social-media comparison and reputation anxiety；financial and academic pressure；teenagers manipulated into magical labour by an adult-coded supervisor",音乐,日本,原创,1868,0.04808800419067575,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/maebashi_witches_tv_2025/
玛利亚狂热,2009,TV 动画,2009 年 TV 动画第 1–12 话,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 1、非恋爱 1,单向 1、相互性未确认 1,かなこ对女校女性群体的追求与幻想（主线／明确欲望／单向）；かなこ与女校同学群体（重要副线／非恋爱／相互性未确认）,是,是,当前版本,剧情／角色页,只有明确关系事实,无,中,否,否,是,是,是,是,是,否,否,否,是,是,same_sex_desire_and_nosebleeds_used_as_repeated_comedy；sexualized_observation_and_fantasy_about_schoolgirls；blackmail_forced_cohabitation_and_continuous_surveillance；humiliating_language_and_school_exclusion；gender_expression_used_in_deception_and_reveal_gags；parody_of_religious_school_imagery,校园,日本,漫画改,1874,0.09301760777170613,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/maria_holic_tv_2009/
光之美少女,2004,TV 动画,2004 年 2 月 1 日至 2005 年 1 月 30 日播出的 TV 动画正篇第 1–49 话,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,美墨渚与雪城穗乃香的友情与战斗搭档关系（主线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,fantasy_violence_and_child_endangerment；villain_coercion_and_identity_loss；emotional_separation_grief_and_apparent_death；school_conflict_and_peer_pressure,,日本,原创,1908,0.04446460980036298,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/futari_wa_precure_tv_2004/
境界线上的地平线,2011,TV 动画,2011 年 10 月 1 日至 12 月 24 日播出的 TV 动画第一季正篇第 1–13 话；与 Bangumi 12703、AniList 10456、MyAnimeList 10456 精确对应的第一季版本；第一季官网角色页、第一季分话梗概及完整英文字幕文字,重要副线,文类外百合阅读,重要副线,明确交往,4,重要副线 2、局部 2,明确交往 1、非恋爱 3,双向 1、不适用 3,玛戈特·奈特—玛伽·纳尔泽（重要副线／明确交往／双向）；向井·铃—赫莱森·阿利亚达斯特（局部／非恋爱／不适用）；葵·喜美—本多·二代（局部／非恋爱／不适用）；本多·二代—鹿角（重要副线／非恋爱／不适用）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,主导,高,是,否,否,是,是,否,否,否,是,是,否,是,战争与战斗；死亡与自杀议题；性化喜剧；男性恋爱主线,战斗、科幻,日本,小说改,1922,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/kyoukaisenjou_no_horizon_tv_2011/
夜樱四重奏 花之歌,2013,TV 动画,2013 年 TV 动画《Yozakura Quartet: Hana no Uta》第 1–13 话,重要副线,文类外百合阅读,局部,明确欲望,3,重要副线 2、局部 1,明确欲望 1、非恋爱 2,双向 2、单向 1,ヒメ、アオ、ことは及樱新町女性同伴群体（重要副线／非恋爱／双向）；ことは对女性群体的欲望指向（局部／明确欲望／单向）；じゅり与りら姐妹（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,副线,中,否,否,否,是,是,否,否,否,否,是,否,是,fantasy_violence_and_repeated_child_or_teen_endangerment；possession_coercion_and_threats_of_death_or_forced_dimensional_removal；repeated_fanservice_and_sexualized_observation_of_teen_characters；sibling_death_grief_and_family_conflict；human_youkai_discrimination_and_sacrificial_policy；alcohol_and_intoxication_gags,后宫、奇幻,日本,漫画改,1928,0.018822264049475665,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/yozakura_quartet_hana_no_uta_tv_2013/
Endro~！,2019,TV 动画,2019 年 TV 动画正篇第 1–12 话,主线,文类内百合,重要副线,明确欲望,3,主线 1、重要副线 2,明确欲望 1、非恋爱 2,双向 2、单向 1,ユーシャ、セイラ、ファイ、メイ组成的勇者队（主线／非恋爱／双向）；ローナ与ユーシャ（重要副线／明确欲望／单向）；マオ与ユーシャ一行（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,无,中,否,否,否,是,是,是,是,否,否,是,否,是,fantasy_combat_and_monster_threats；time_reversal_and_memory_manipulation；staged_kidnapping_and_deception_by_a_friend；swimsuit_and_sexualized_imagery_involving_young_looking_characters；school_and_teacher_student_power_structure,冒险、奇幻、战斗、日常、萌系,日本,原创,1932,0.10104837691044588,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/endro_tv_2019/
回忆中的玛妮,2014,剧场动画,2014 年 7 月 19 日上映的《思い出のマーニー》剧场版正片（1 部，约 103 分钟）；与本片对应的官方作品页、官方宣传文字及公开数据库条目；Jimaku 条目 1828 中与本片对应的日文 SRT 仅用于定位本片对白，不把字幕资料库当作官方分类来源,主线,文类外百合阅读,主线,潜在恋爱,4,主线 1、重要副线 2、局部 1,潜在恋爱 1、非恋爱 3,双向 3、相互性未确认 1,杏奈与玛妮（主线／潜在恋爱／相互性未确认）；杏奈与彩香（重要副线／非恋爱／双向）；玛妮与久子（局部／非恋爱／双向）；杏奈与赖子（养母）（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传、访谈／评论,只有关系推断,副线,中,否,否,否,否,是,是,否,否,是,是,否,否,asthma_and_chronic_illness；childhood_neglect_and_maid_abuse；foster_care_and_family_abandonment_anxiety；fever_and_silo_fear；death_of_parents_and_grief；intergenerational_family_trauma_and_memory_confusion,奇幻,日本,小说改,1941,0.03539094650205761,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/omoide_no_marnie_movie_2014/
侦探歌剧 少女福尔摩斯 ～逆袭的少女福尔摩斯～,2016,剧场动画,2016 年 2 月 27 日上映的《探偵オペラ ミルキィホームズ ～逆襲のミルキィホームズ～》单部剧场正片；官方发行页、剧场版官网和本片对应的数据库条目,主线,文类内百合,缺席,非恋爱,3,主线 2、重要副线 1,非恋爱 3,双向 3,Milky Holmes 四人团队（主线／非恋爱／双向）；夏洛克—亨利艾特／亚森（主线／非恋爱／双向）；Milky Holmes 与 Genius 4（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,夸张战斗、温泉和身体笑料；雷击导致能力再次丧失及团队挫败；侦探、怪盗与警察三方对峙和操控性喜剧；怪盗帝国成员对亚森的夸张效忠与服从笑点；本片没有明确女女交往或性取向身份自述,,,原创,1947,0.06351183063511831,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/tantei_opera_milky_holmes_gyakushu_movie_2016/
轻声密语,2009,TV 动画,2009 年 TV 动画第 1–13 话,主线,文类内百合,主线,明确交往,5,主线 1、重要副线 3、局部 1,明确交往 1、明确欲望 2、非恋爱 2,双向 3、单向 1、相互性未确认 1,村雨純夏与風間汐（主线／明确欲望／相互性未确认）；蓮賀朋絵与当麻みやこ（重要副线／明确交往／双向）；風間汐与綿木千津香（局部／明确欲望／单向）；蒼井あずさ与村雨純夏（重要副线／非恋爱／双向）；女子部朋友群（重要副线／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,只有明确关系事实,副线,高,是,否,是,是,是,是,否,否,是,是,否,是,unrequited_love_rejection_and_friendship_loss_anxiety；social_isolation_and_stigma_around_same_gender_attraction；outing_pressure_and_blackmail_framed_as_comedy；crossdressing_and_gender_presentation_comedy；teen_swimsuit_and_service_imagery；karate_violence_and_slapstick,校园,日本,漫画改,1958,0.17726293103448276,2026-08-05,https://l-m-sherlock.github.io/yuri-classification-archive/works/sasameki_koto_tv_2009/
上伊那牡丹，酒醉身姿似百合花般,2026,TV 动画,2026 年 TV 动画第 1–12 话,主线,文类内百合,主线,明确交往,3,主线 1、重要副线 2,明确交往 1、明确欲望 1、非恋爱 1,双向 3,上伊那ぼたん与砺波いぶき（主线／明确交往／双向）；郡上かなで与張景嵐（重要副线／明确欲望／双向）；女子宿舍成员共同体（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,无,高,是,是,是,是,是,是,是,否,否,是,否,否,alcohol consumption and repeated intoxication；smoking；nightlife venues；reduced judgment during intoxication；negotiation of bodily boundaries around intimate actions and ear piercing；unrequited love and jealousy,日常,日本,漫画改,1975,0.1480625173402386,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/kamiina_botan_tv_2026/
库拉乌 幻之记忆,2004,TV 动画,2004 年 TV 动画正式第 1–24 话,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,Rynax 库拉乌与圣诞（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,中,否,否,否,否,否,是,否,否,否,是,否,否,institutional_pursuit_detention_and_state_violence；human_and_energy_experimentation；body_dissolution_and_identity_displacement；war_terrorism_and_civil_unrest；death_grief_and_family_separation；child_injury_and_endangerment；coercive_pair_replacement,科幻,日本,原创,1982,0.08781869688385269,2026-07-30,https://l-m-sherlock.github.io/yuri-classification-archive/works/kurau_phantom_memory_tv_2004/
Re：从零开始的异世界生活 第三季,2024,TV 动画,Bangumi subject 425998《Re:ゼロから始める異世界生活 3rd season 襲擊編》的正式第 51–58 话（2024-10-02 至 2024-11-20，共 8 话）；Bangumi subject 510728《Re:ゼロから始める異世界生活 3rd season 反擊編》的正式第 59–66 话（2025-02-05 至 2025-03-26，共 8 话）；官方页面所称襲撃編（全 8 话）与反撃編（全 8 话）的连续第三季 TV 正篇，以及与该 16 话范围精确对应的日语字幕文本,重要副线,非百合,缺席,非恋爱,3,重要副线 2、局部 1,非恋爱 3,双向 3,普莉希拉·跋利耶尔与莉莉安娜·马斯卡雷德的赏识、合作与保护关系（重要副线／非恋爱／双向）；爱蜜莉雅与雷古勒斯妻子群体的救援、反抗共同体（重要副线／非恋爱／双向）；爱蜜莉雅与碧翠丝的伙伴及共同体关系（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页、可见作品宣传,范围内无依据,主导,高,否,否,否,否,否,否,否,否,否,是,否,是,强迫婚姻、编号化和对女性的控制与威胁；战争、虐待、死亡威胁、身体伤害和创伤记忆；单向占有欲、性化询问及不对等权力关系；异性恋爱、求爱、伴侣承诺和明确相互爱意；暴力、血腥、精神操控和超自然恐怖,冒险、奇幻、战斗,日本,小说改,2003,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/re_zero_kara_hajimeru_isekai_seikatsu_3rd_season_tv_2024/
荒野的寿飞行队,2019,TV 动画,2019 年 TV 动画正篇第 1–12 话,主线,文类外百合阅读,局部,潜在恋爱,2,主线 1、局部 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,寿飞行队六名女性成员（主线／非恋爱／双向）；扎拉与蕾欧娜（局部／潜在恋爱／相互性未确认）,所核未见,所核未见,,,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,是,否,否,aerial_combat_gunfire_explosions_and_crashes；injury_death_risk_and_wartime_peril；authoritarian_propaganda_and_political_coercion；recurring_alcohol_use；heterosexual_flirtation_proposal_and_failed_marriage_comedy,战斗、科幻,日本,原创,2027,0.0205,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/kouya_no_kotobuki_hikoutai_tv_2019/
莉可丽丝：友谊是时间的窃贼,2025,WEB 动画,2025 年 4 月 16 日至 5 月 21 日发布的六话 WEB 短篇《リコリス・リコイル Friends are thieves of time.》；六话官方标题、官方短篇简介和本版本可取得的公开字幕文字,主线,文类内百合,主线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,千束／たきな（主线／潜在恋爱／相互性未确认）；千束／たきな与其他女性同僚（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,中,否,否,否,否,是,是,是,否,否,是,否,否,枪械与秘密组织设定以轻喜剧方式出现；幽灵、惊吓和恶作剧桥段；留宿、换制服和亲密日常可能触发恋爱阅读；本版本没有明确女女交往或性取向身份自述,日常,日本,原创,2039,0.057866037275168876,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/lycoris_recoil_friends_are_thieves_of_time_web_2025/
Fate/kaleid liner 魔法少女☆伊莉雅 2wei Herz!,2015,TV 动画,2015 年《Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ！》TV 动画正式第 1–10 话,主线,文类内百合,重要副线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,伊莉雅与美游（主线／非恋爱／双向）；伊莉雅与克洛伊（重要副线／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,是,否,否,未成年角色之间围绕亲吻／唾液补给的台词与尴尬玩笑；魔力补给场景中角色犹豫的台词；伊莉雅与克洛伊围绕亲吻和补给的喜剧台词；男性恋爱药剂导致的强烈追求喜剧；魔法战斗、超自然伤害和生命危险,战斗,日本,漫画改,2041,0.09806629834254144,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/fate_kaleid_liner_prisma_illya_2wei_herz_tv_2015/
魔法使光之美少女！！～未来之日～,2025,TV 动画,2025-01-11 至 2025-03-29 首播的《魔法つかいプリキュア！！～MIRAI DAYS～》TV 正篇第 1–12 话,主线,文类内百合,主线,潜在恋爱,4,主线 1、重要副线 2、局部 1,潜在恋爱 1、非恋爱 3,双向 3、不适用 1,朝日奈未来与十六夜理子的重逢、共同生活与未来选择（主线／潜在恋爱／双向）；花海言叶与翡翠的分身、继承与照护关系（重要副线／非恋爱／不适用）；十六夜理子与莉兹的姐妹支持关系（重要副线／非恋爱／双向）；朝日奈未来与玲奈的大学友情与救援关系（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,fantasy_combat_and_injury；child_and_teen_characters_in_peril；time_manipulation_and_stasis；memory_loss_and_identity_disruption；family_separation_and_grief；villainous_coercion_and_manipulation；worldwide_danger,,日本,原创,2046,0.07256235827664399,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/mahou_tsukai_precure_mirai_days_tv_2025/
冰之城墙,2026,TV 动画,2026 年 4 月至 7 月播出的 TV 动画正篇第 1–14 话；该 TV 版官网的介绍、角色资料和第 1–14 话分话资料；与 Bangumi 535669、AniList 186497、Anime-Planet the-ramparts-of-ice、MyAnimeList 60852 精确对应的公开数据库字段,主线,非百合,缺席,非恋爱,2,主线 1、局部 1,非恋爱 2,双向 2,氷川小雪与安曇美姫的幼驯染友情（主线／非恋爱／双向）；小雪与霜岛月子及女性同伴的学校共同体（局部／非恋爱／双向）,所核未见,是,当前版本,剧情／角色页,范围内无依据,主导,高,否,否,否,否,否,是,否,否,否,是,否,是,校园排斥、霸凌记忆与社会性孤立；家庭疏离、父母离异及持续的情绪压力；过去关系中的伤害、利用与自我否定；异性告白、感情拒绝和恋爱关系未能成立,恋爱,日本,漫画改,2047,0.0,2026-08-16,https://l-m-sherlock.github.io/yuri-classification-archive/works/koori_no_jouheki_tv_2026/
糖果男孩,2007,WEB 动画,Bangumi 条目 95419《Candy☆Boy》：2007-11-22 发布的 1 话 WEB 动画（约 8—10 分钟；AV Watch 同期报道为约 8 分钟，Bangumi、AniList 与 MAL 3456 为 10 分钟）；本单话的官方作品页、角色页及精确版本数据库字段；“Candy☆Boy: Side Story For Archive”仅作为 AniList／MAL 使用的跨库长标题，不当作 AIC 官方长标题,主线,文类内百合,主线,明确欲望,2,主线 1、重要副线 1,明确欲望 1、潜在恋爱 1,双向 1、单向 1,奏／雪乃的双胞胎姐妹关系（主线／明确欲望／双向）；咲夜／奏的后辈关注线（重要副线／潜在恋爱／单向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有明确关系事实,无,中,否,否,是,是,是,是,是,否,否,是,否,否,亲生双胞胎姐妹之间的恋爱方向与血亲关系；后辈咲夜对奏的单向关注；完整日语字幕为自动语音识别，可能存在断句、同音字和说话人错配；仅用于检索与低风险台词定位，不据此推断画面、动作、语气或正式交往,,,原创,2055,0.17949603037625128,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/candy_boy_side_story_for_archive_web_2007/
牵牛花与加濑同学。,2018,剧场 OVA,2018 年 6 月 9 日起限期剧场上映、同年 11 月 21 日发行的《あさがおと加瀬さん。》剧场 OVA 正片（本篇约 58 分钟、1 部）,主线,文类内百合,主线,明确交往,2,主线 1、重要副线 1,明确交往 1、非恋爱 1,双向 2,山田结衣与加濑友香的交往关系（主线／明确交往／双向）；山田结衣与三河及同学群体的友情（重要副线／非恋爱／双向）,所核未见,是,当前版本,可见作品宣传、访谈／评论,只有明确关系事实,无,高,是,是,是,是,是,是,是,否,否,是,否,是,初次交往中的不安、嫉妒和沟通困难；毕业与升学带来的分离焦虑及对未来的不确定；女性之间恋爱关系的公开程度与同学眼光问题；不把作品的恋爱标签自动换算为角色的性取向身份,恋爱,日本,漫画改,2061,0.1852511125238398,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/asagao_to_kase_san_ova_2018/
Fate/kaleid liner 魔法少女☆伊莉雅 2wei!,2014,TV 动画,2014 年《Fate/kaleid liner プリズマ☆イリヤ ツヴァイ!》TV 动画正式第 1–10 话,主线,文类内百合,缺席,非恋爱,3,主线 2、局部 1,非恋爱 3,双向 2、单向 1,伊莉雅与美游（主线／非恋爱／双向）；伊莉雅与克洛伊（主线／非恋爱／双向）；克洛伊与美游（局部／非恋爱／单向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,未成年角色的性化喜剧、泳装与裸露语境；克洛伊为补给魔力而亲吻美游、同学等角色，涉及身体边界与同意问题；伊莉雅对义兄的单向恋爱喜剧；魔法战斗、家庭关系冲突与生命危险,战斗,日本,漫画改,2065,0.09947597477573497,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/fate_kaleid_liner_prisma_illya_2wei_tv_2014/
代号17,2001,TV 动画,2001 年 5 月 27 日至 2002 年 5 月 26 日播出的 TV 动画正篇第 1–13 话，每话约 46–47 分钟,主线,文类内百合,主线,潜在恋爱,1,主线 1,潜在恋爱 1,相互性未确认 1,椎名つばさ与ヒカル（主线／潜在恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,否,否,否,death_of_children_and_prolonged_grief；alien_violence_body_horror_and_child_endangerment；artificial_lifeform_death_and_forced_separation；memory_copying_manipulation_and_erasure；constructed_twin_sister_identity_with_romantic_ambiguity；intense_dependency_and_separation_anxiety；bereavement_and_parental_loss,,日本,原创,2096,0.06619144602851323,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/figure_17_tv_2001/
结城友奈是勇者 -鹫尾须美之章- 第2章 魂,2017,剧场动画,2017 年 4 月 15 日上映的《鹫尾须美之章》第二章《たましい》剧场版正片；第二章完整中文字幕及第二章官方故事页、官方主页、产品页和精确数据库条目,主线,文类内百合,重要副线,潜在恋爱,3,主线 1、重要副线 1、局部 1,潜在恋爱 1、非恋爱 2,双向 1、单向 1、相互性未确认 1,鹫尾须美与乃木园子（重要副线／潜在恋爱／相互性未确认）；鹫尾须美、乃木园子与三之轮银的勇者共同体（主线／非恋爱／双向）；匿名一年级女生与鹫尾须美（局部／非恋爱／单向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,否,是,否,否,小学六年级少女承担战斗任务和持续生命危险；角色死亡、同伴哀伤和未完成约定；战斗受伤与自我牺牲；勇者制度、任务命令与信息不对称；强烈友情和照料不等于恋爱关系或角色身份,战斗,,原创,2106,0.09052778748689269,2026-08-10,https://l-m-sherlock.github.io/yuri-classification-archive/works/yuuki_yuuna_washio_sumi_ch2_movie_2017/
